time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-16 00:00:00+00:00,3,2,5,1
2026-02-17 00:00:00+00:00,0,0,1,1
2026-02-18 00:00:00+00:00,2,1,0,0
2026-02-19 00:00:00+00:00,4,1,0,0
2026-02-20 00:00:00+00:00,2,1,13,4
2026-02-21 00:00:00+00:00,2,1,6,1
2026-02-22 00:00:00+00:00,2,2,9,2
2026-02-23 00:00:00+00:00,7,2,45,3
2026-02-24 00:00:00+00:00,121,21,212,5
2026-02-25 00:00:00+00:00,152,35,123,11
2026-02-26 00:00:00+00:00,7,6,55,11
2026-02-27 00:00:00+00:00,85,19,87,5
2026-02-28 00:00:00+00:00,92,19,82,7
2026-03-01 00:00:00+00:00,7,7,6,2
2026-03-02 00:00:00+00:00,40,10,33,4
2026-03-03 00:00:00+00:00,9,8,100,5
2026-03-04 00:00:00+00:00,29,12,59,7
2026-03-05 00:00:00+00:00,41,17,87,5
2026-03-06 00:00:00+00:00,56,15,75,9
2026-03-07 00:00:00+00:00,20,5,25,4
2026-03-08 00:00:00+00:00,5,3,11,4
2026-03-09 00:00:00+00:00,16,6,61,6
2026-03-10 00:00:00+00:00,25,10,148,9
2026-03-11 00:00:00+00:00,3,2,75,7
2026-03-12 00:00:00+00:00,1,1,14,5
2026-03-13 00:00:00+00:00,32,8,32,5
2026-03-14 00:00:00+00:00,1,1,18,2
2026-03-15 00:00:00+00:00,0,0,24,2
2026-03-16 00:00:00+00:00,3,2,25,3
2026-03-17 00:00:00+00:00,9,2,7,3
2026-03-18 00:00:00+00:00,23,9,92,4
2026-03-19 00:00:00+00:00,18,8,42,5
2026-03-20 00:00:00+00:00,0,0,1,1
2026-03-21 00:00:00+00:00,1,1,0,0
2026-03-22 00:00:00+00:00,0,0,0,0
2026-03-23 00:00:00+00:00,1,1,3,2
2026-03-24 00:00:00+00:00,3,3,15,8
2026-03-25 00:00:00+00:00,5,4,184,8
2026-03-26 00:00:00+00:00,51,12,154,7
2026-03-27 00:00:00+00:00,10,3,40,5
2026-03-28 00:00:00+00:00,0,0,27,3
2026-03-29 00:00:00+00:00,1,1,1,1
2026-03-30 00:00:00+00:00,3,3,31,6
2026-03-31 00:00:00+00:00,3,3,21,7
2026-04-01 00:00:00+00:00,1,1,8,3
2026-04-02 00:00:00+00:00,35,22,47,8
2026-04-03 00:00:00+00:00,4,4,17,7
2026-04-04 00:00:00+00:00,1,1,8,2
2026-04-05 00:00:00+00:00,3,3,7,2
2026-04-06 00:00:00+00:00,1,1,16,3
2026-04-07 00:00:00+00:00,0,0,10,2
2026-04-08 00:00:00+00:00,1,1,19,1
2026-04-09 00:00:00+00:00,22,6,9,2
2026-04-10 00:00:00+00:00,2,2,19,5
2026-04-11 00:00:00+00:00,3,3,3,2
2026-04-12 00:00:00+00:00,2,2,0,0
2026-04-13 00:00:00+00:00,17,2,22,4
2026-04-14 00:00:00+00:00,40,17,123,7
2026-04-15 00:00:00+00:00,74,27,76,7
2026-04-16 00:00:00+00:00,2,2,26,4
2026-04-17 00:00:00+00:00,1,1,26,5
2026-04-18 00:00:00+00:00,0,0,0,0
2026-04-19 00:00:00+00:00,1,1,3,1
2026-04-20 00:00:00+00:00,9,7,53,5
2026-04-21 00:00:00+00:00,24,17,9,1
2026-04-22 00:00:00+00:00,46,15,37,7
2026-04-23 00:00:00+00:00,23,8,41,6
2026-04-24 00:00:00+00:00,6,6,5,4
2026-04-25 00:00:00+00:00,5,5,0,0
2026-04-26 00:00:00+00:00,4,1,0,0
2026-04-27 00:00:00+00:00,6,1,2,2
2026-04-28 00:00:00+00:00,10,3,32,2
2026-04-29 00:00:00+00:00,112,25,50,9
2026-04-30 00:00:00+00:00,25,6,11,3
2026-05-01 00:00:00+00:00,46,7,94,7
